,Target,Text
10,Electronics,"Tiny Deal Compact 10x25 Mini Binoculars Telescope Sports Hunting Camping Survival Kit - Black This item is a 10x25 Mini Binoculars Telescope. It's small enough to carry in your pocket, but powerful. It's ideal for birding, as well as for travel/sightseeing, hunting, hiking, observation of sporting activities and concerts, etc.* 10 x 25mm binocular,131m/1000mFully Coated Optics for increased brightnessDurable rubber armoringIdeal for bird watching, walking, climbing,boating/Yaching, travel, as well as other outdoor recreationsProduct Size: About 10.9 x 6.6 x 2.9 cmPackage Includes: 1 x Binoculars 1 x Carrying pouch 1 x Cleaning cloth 1 x Strap,"
11,Household,"Amazing Stainless Steel Pasta Maker & Roller Machine, Noodle Spaghetti & Fettuccine Maker Stainless steel material, wear-resistant and uneasy to get rusty. Can be fixed to the table or working surface with the clamp provided. Optional two different noodle widths (2mm and 6mm).Anti-skid handle, easy to grip. Easily prepare your own fresh pasta: spaghetti, fettuccine, lasagnamaterial: stainless steel. Product"
12,Electronics,"Photron P10 Wireless 3W Portable Bluetooth Speaker (Deep Cobalt) Bluetooth 2.1 plus EDR. Supports HFP, HSP, A2DP and AVRCP profiles. Operation range of 10 meters. 40mm 3W driver. 400mAh Li-ion battery offers approximately 4.5 hours of talk time, approximately 3 hours of music playback and up to 165 hours of standby. Charges in 3 hours. Answer, end, reject calls. Listen to music with volume adjustment, previous/next/pause functions. TF card playback support."
13,Household,"Pindia Silicon Large Decorating Cake Mat with Measurements and Reusable (Multicolour) Fantastic large silicone rolling mat and for use with sugar paste, fondant, pastry, icing, dough and much more."
14,Books,"The Secret About the Author Rhonda Byrne is the creator behind The Secret, a documentary film that swept the world in 2006, changing millions of lives and igniting a global movement. Later that same year, Rhonda’s book of The Secret was released. It has been translated into more than fifty languages and remains one of the longest-running bestsellers of this century. Rhonda has written three more bestselling books: The Power in 2010, The Magic in 2012 and Hero in 2013."
15,Household,"Misheema Creations Tea and Coffee Ceramic Serveware Cup (Multicolour, 150ml) - Set of 6 Pieces Tea & Coffee Cups comes in white and multi colour Made by very fine quality & lightweight for optimum durability and has an elegant finish gives you a stylish feel of Tea & Coffee. Now serve hot cups of tea/coffee whatever is your choice of refreshment in this interesting set and beautify any table surface.you can greet your guests with a refreshing beverage Multi Cups saucer comes in box packing."
16,Books,Bedside clinics in Medicine Part - 1 bedside clinics in medicine
17,Household,"Kytes Tealight LED Diya - (Plastic, Yellow, Set of 12) - A11-12 Beautiful Addition to Your Home Decor Win compliments by creating a beautiful ambience within your home using the Kytes tealight LED diya set. Featuring an attractive design, these lights will let you make a fabulous decor statement this season. This yellow Kytes LED diya set will infuse a sense of warmth within your room and will definitely capture the attention of your guests. Be it Diwali or just about any occasion, you can add these appealing LED diyas to brighten up the interiors of your home. They are easy to install and clean as well.Perfect for Making a Traditional Statement Bring home the Kytes LED diya set to make a traditional, yet elegant statement. These LED diyas with gentle flickers do not require hot wax and are free of smoke. Designed to resemble a real diya, this yellow LED diya set is easy is use and safe to handle. Place it wherever you wish to in your room to set a festive mood that both your children, family members and visitors are sure to love. Each LED diya is equipped with a button cell. They are perfect for your living room, bedroom, garden and patio. Brand: Lighto Kytes Includes: 12 LED diyas Material: Plastic Dimensions: 5.08 x 5.08 cm Colour: Yellow Shape: Round Button cell in each candle"
18,Household,"Dharam Paul Traders™ Manual Stainless Steel Puri poori Press Presser Maker Machine with PRE Fitted Handle, Large for Kitchen Nearly 6 inches Working Diameter.It is NOT a roti Maker. 🔔 Useful for flattening or pressing puri in kitchen .Not helpful for ROTI PRESSING .   🔔 Heavy presser machine,nearly 1kg weight with easy operation  🔔 This puri machine is of large size and having working diameter of nearly 6 inches.   🔔 This puri presser is provided with an anti skid/slip sole that does not lets the presser machine move when you press the machine for pressing the peda .  🔔The grip of the handle is provided with non slippery plastic that is textured for optimum grip.   🔔The puri presser will be sent to you in fitted condition,that means you will not have to fix the handle on your side . 🔔Be sure to apply much oil on both the faces of plates so as to avoid sticking of the peda after pressing is done."
19,Books,"Attitude Is Everything: Change Your Attitude ... Change Your Life! About the Author Jeff Keller is the founder and president of Attitude Is Everything, Inc. For more than 20 years, he delivered presentations on attitude and motivation. He is the author of the book Here's to Your Success, which contains 62 of his most popular essays. Jeff is a native New Yorker and has the accent to prove it. To contact him, send an email to jeff@attitudeiseverything.com."
20,Electronics,"OZpolish H2O by Aquatic Habitat | Aquarium Water Conditioner Powder (Dry) | Underground, RO or Tap Water TDS Stablizer for Fish Tanks | Reduce Water gh (General Hardness), Reduce Dissolved Heavy Metal | Aquarium Glass Self Cleaner | Polishes Aquarium Water -- 100GMs Every aquarium owner hope for their aquarium wishes to be a reality. No wonder, of all, the identified should be top 5! Aquarium Wish# 1. Make aquariums flourish:-OZpolish H2O has selected minerals, vitamins and salts that is needed for fish health & immunity and overall aquarium sustenance for longer period between water changes. Healthy fishes are seen in healthy tanks! Aquarium Wish# 2. Removing chlorine is not enough:-OZpolish H2O stabilizes low or high water TDS. If the water is high in TDS, such as underground water, OZpolish H2O will normalize it to approx 200. Surprisingly, when water is low in TDS, such as RO water, it would normalize the TDS to approx 200. No need to be choosy for plants & fishes suited with the TDS of the supplied water! Aquarium Wish# 3. Clear tanks:-OZpolish H2O reduces the scaling of white mineral deposition on the aquarium glass. Regular usage will eliminate white scale completely over time. Makes inside aquarium visible crystal clear! Aquarium Wish# 4. Perfected water quality:-OZpolish H2O reduces water general hardness (gh) and removes the contaminants, including heavy metals, without any expensive or complex physical filtration. Good for fishes, plants and other underwater lives! Aquarium Wish# 5. Low cost aquariums:-OZpolish H2O helps in reducing the maintenance cost, time and effort spent to the lowest possible level in aquariums. Easiest thing to do!Instruction – Just sprinkle it to aquarium water.Dosage- 10mg per 100ltrs of water [not more than 0.002 Imperial Teaspoon per 10lts] during every water change. Weight per Volume: 1ml = 1.010g approx.Precautions– Not a fish food. Do not over dose. Keep out of reach of children.*Made in India. *Manufacturer claimed for the product been tested at various levels for safety and efficacy.★★ Happy Fishkeeping!! ★★"
21,Books,HS Artist Sketch Book Acid Free (A5 Landscape Spiral Bound)
22,Electronics,"Osaka 58mm UV Filter for Canon EOS DSLR Camera Osaka 58mm UV Filter for Canon EOS DSLR Camera Perfect for UV Protection All photography experts need this one accessory that they cannot do without. It is a UV filter for 58 mm front thread lenses by Osaka. Since photo films are more sensitive to UV rays, even more than our eyes, therefore this filter protect the film from causing any aberrations in your photographs. When you see bluish cast or haze in your photographs, it is the UV interruption. Mostly it happens, while you are photographing on high altitude or over water that causes these aberrations. Now that you know the reasons for such pictures, you can use the Osaka UV filter to capture great pictures anywhere and anytime.  Protection Against Many Other Things The Osaka UV filter not only protects your film from getting exposed to the harmful UV rays but also against several other things that can damage your camera lens. It can protect your lens against moisture, scratches, dust and fingerprints. With long hours of photography your lens remains exposed as well, therefore it needs to be cleaned over and over again to get that perfect shot. Such excessive cleaning leads the lens to lose it coating, it becomes blurred and soft and the polish of the lens diminishes. This can cause blurred photographs. The UV filter absorbs most of the dust and moisture so you need not clean the lens so often. The filter only absorbs the UV light and not the normal light. So you can keep it on your lens all the time as it does not affect the contrast or the colour of your photographs. It is light weight so it does not add too much weight to your camera. Get the Osaka 58mm UV Filter for Canon EOS DSLR Camera and keep your photography skill sharpened."
23,Books,The Strategy of Satan: How to Detect & Defeat Him 
24,Electronics,"Point Blanc (Alex Rider) Review Perfect escapism for all teenage boys who have ever wondered what that narrow table in mum's laundry room is for. * The Times * Horowitz will grip you with suspense, daring and cheek - and that's just the first page! * The Times * It's hackneyed stuff, done with enormous style, fun and suspense. * Guardian * 				    	 					 About the Author Anthony Horowitz is the author of the number one bestselling Alex Rider books and The Power of Five series. He has enjoyed huge success as a writer for both children and adults, most recently with the latest adventure in the Alex Rider series, Russian Roulette and the highly acclaimed Sherlock Holmes novel, The House of Silk. His latest novel, Moriarty, is also set in the world of Sherlock Holmes and was published in October 2014. Anthony was also chosen by the Ian Fleming estate to write the new James Bond novel which will be published this year. Anthony has won numerous awards, including the Bookseller Association/Nielsen Author of the Year Award, the Children's Book of the Year Award at the British Book Awards, and the Red House Children's Book Award. In 2014 Anthony was awarded an OBE for Services to Literature. He has also created and written many major television series, including Injustice, Collision and the award-winning Foyle's War."
25,Clothing & Accessories,"SHVAS Stylish Cotton Baseball Adjustable EDIKO Cap for Men/Women Unisex Baseball Cap [EDIKOBLACKSPO] Upgrade Your Look with a Fashionable Cap by wearing High Quality SHVAS Caps  Are you looking for a top quality, super comfortable baseball cap to complete your casual look. Then look no further than this cool cap by Top Level.   Perfect for daily wear  This cap will protect your skin from the b summer sun and make you look good at the same time. All you need is pair it with a printed sweatshirt and your favorite sneakers and you're ready to go.  Adjust to Your Head Boasting a convenient  Adjustable closure on the back, you can easily custom fit the cap on your head and ensure a secure fit and maximum comfort at all times.   Unisex Design  Available in bright, solid black colour that are suitable for men and women, you're sure to find the right one for you.  Make a Great Gift  Are you looking for a cool gift for your loving friends. Gift them this awesome baseball cap and you can be sure, your gift will be greatly appreciated."
26,Books,My Book of Art & Craft Part - 3 
27,Books,"eCraftIndia Antique Finish Brass Flying Angel Horse (12.5 cm x 15 cm x 10 cm, Brown and Black) This beautiful wall lamp will give your wall an extremely special turn. The white Warli Art on this light delineates the harmony between the hues and the Dhokra miniatures on this lamp depict celebrations. Crafted out of Sheesham wood, it has an earthy look to it.c) Comes in Brown colour.d) This beautiful wall lamp will give your wall a very unique twist.e) Comes in 7.4"" (L), 4.3"" (W), 7.3"" (H) in size."
28,Books,"Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! About the Author Robert Kiyosaki has challenged and changed the way tens of millions of people around the world think about money. With perspectives that often contradict conventional wisdom, Robert has earned a reputation for straight talk, irreverence and courage. He is regarded worldwide as a passionate advocate for financial education."
29,Household,"friends & company Men's Leather Good Money Clip (Tan) To place all your monetary essentials safe and secure you can always count on this simple yet versatile and durable Wallet - For Men. This wallet makes sure all your possessions obtain sturdy support while you are on the move. The compact and organized interiors of this wallet allow for an orderly segregation of your cash, cards and bills. These interiors comprise of two compartments, offering ultimate convenience and comfort while use. The smart Bi-fold design of this Wallet - For Men allows you to easily slip it into your pocket while you are set to go outdoors for the day. Besides this, the wallet is also equipped with credit card slots. This wallet is lightweight and hence is effortlessly portable on the move. Be it a weekend get together with friends or late night dinner outdoors with family, this wallet could be the ideal pick for you. Faux Leather 3 Card Slots 1 Coin Pocket 2 Inside Pocket 2 Compartment"
30,Household,"Godrej Mortise Handle Set Stella (6 Lever Stella Handle Set) Godrej Locking Solutions & Systems is a part of Indian folklore for securing valuables of millions of Indians since its inception. Today, Godrej is a total locking solutions provider and offers locks at various security levels to ensure optimum safety."
31,Books,Mathematics 
32,Electronics,"AmazonBasics Micro USB Charging Cable for Android Phones (3 Feet, Black) Size name:3 Feet                                                                                 |                            Style name:Pack of 1   AmazonBasics Micro USB Charging Cable for Android Phones (3 Feet, Black)"
33,Clothing & Accessories,"U.S. Polo Assn. Men's Cotton Lounge Bottom The U.S. Polo Assn. brand (USPA) carries an extensive collection of classically styled, high quality, casual clothing. Browse through our site to find products including polo shirts, tees, denim, khakis and hoodies. Our versatile and stylish casual clothing will enable you to fully participate in an active and comfortable lifestyle."
34,Books,"Objective General English Review The examples to theories and meanings can be related to our daily life and current affairs which makes understanding easier wih clarity of concept. --Rahul ludhani Feb 22, 2015nice book on objective for competative exams it will clearly help the student english but answers to exercise questions must be given --Anuj kumar Feb 4, 2015 				    	 					 About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
35,Clothing & Accessories,W for Woman Women's Cape Gilet
36,Household,"cello. Stainless Steel Quick Boil 900 Electric Kettle (1Ltr, Black, Silver) Cello Quick boil 900 is come with Autoff. Pull lid opening. Wide Mouth for Easy Cleaning."
37,Electronics,iBall Stella Tower Computer Case (Black) The Iball cabinet Stella with SMPS comes with a classy front panel with a shiny finish and top mounted USB and Audio ports for convenience.
38,Household,"Classy Touch Bamboo Cooking, Serving Wooden Spoon 5 Piece Set with Stand (Each 30cm Long Approx) Made from 100% natural wood, this 5 pcs kitchen spoons set is very useful for cooking and hygenic. Bamboo Kitchen Cooking Tools - safe to be use on hot surfaces and will not scratch non-stick surfaces. Made of 100% High Quality Moso Bamboo - strong, versatile, eco-friendly and biodegradable"
39,Clothing & Accessories,Fabme Women's Polka Dots Satin Night Suit (Top & Pyjama) (Colour Options) (Size - Small to XX-Large) Fabme Women's Polka Dots Satin Night Suit ( Top and Pyjama ) ( Color Options ) (Size - Small to XX-Large)
40,Electronics,Sony NWZ-B183F Digital Music Player (Blue) Colour:Blue   Good Sound Quality
41,Clothing & Accessories,"AMERICAN CREW Men's Cotton Blend Polo The classic solid polo gets a well-deserved update in this American Crew design, featuring number 3 applique in contrasting colors on the sleeve.  Superior cotton rich blend with optimal polyester blending  Fast and vibrant colors  Ribbed collar; three-button placket  Short ribbed sleeves  Soft medium weight bio-washed pique knit fabric  Regular fit, good for casual wear or sports wear Made in India"
42,Electronics,"Niks Car Air Outlet Vent Internal Cleaner Keyboard Dust Cleaning Brush 100% brand new and high quality Used to clean car air outlet, instrument panel and other car interior seams, also can be used to clean keyboard and window-blinds, convenient and useful Mini appearance can be portable, easy to carrying with and use High quality material brush can be stable and durable Item Type: Car Seams Brush Material: Microfiber, PP, PE Total Size: 16.5*4cm/6.5*1.6in(L*W) Hair Length: 3.3cm/1.3in Color: Structure: Double-End Application: Car Air Outlet, Instrument Panel, Seams, Window-Blinds, Keyboard, etc."
43,Electronics,"HP 15 Intel Core-i3 7th Gen 15.6-inch Full HD Laptop (8GB DDR4/1 TB HDD/Windows 10/Integrated Graphics/Sparkling Black/2.04 kg), 15q-ds0026tu Size name:Win10/8GB/1TB/m2 Slot   Designed for long-lasting performance, this stylishly designed HP laptop has a long-lasting battery that keeps you connected, entertained, and productive all day. Speed through tasks, or sit back and socialize - with the latest processors and a rich Full HD display. Do it all, all day."
44,Household,"Green Soul Vienna High Back Revolving Office Chair (Black and Tan, +4 Colors)"
45,Clothing & Accessories,"TUCUTE Women Beautiful Polka Dotts Print + Denim Base Print with V Pattern Feeding/Maternity / Nursing Nighty/Night Gown/Night Dress/Nightwear (Free Size) Smart Combo (Pack of 2 Pcs) Tucute Nightwear are Made with Soft and fine Quality Fabric. Fancy Stunning & Adorable Bedroom Night Wear. It is long lasting and comfortable in wearing. It gives you a stylish and sensual look. This is a perfect gift for your loved ones, this can be gift wrapped as well.Tucute Women Beautiful Polka Dotts print + Denim Base Print with V pattern Feeding / maternity / Nursing Nighty / Night Gown / Night Dress / Nightwear (Free Size) (Pack of 2 Pcs)"
46,Books,"English Story Book Collections for kids set of 8 By InIkao : A Total of 120 Panchatantra & Traditional Short Stories with Pictures Inikao Traditional Tales Collections are a Set of 8 Picture Story Books containing great Indian Stories from panchatantra, tenali raman, akbar birbal and Jataka. Set contains 4 titles Akbar Birbal, Panchtantra, Tenali Raman and Jataka Tales. Each Title has 2 Volumes. Each Volume has 15 Single Page Short Stories with a High resolution image for each story. Each Book Contains 16 Pages in Note Book Size. A Total of 120 Stories. Designed to help Inculcating reading habits in kids."
47,Household,Zerodis Manual Plane Adjustable Hand Edge Planer Spoke Shave Woodworking Cutter Specification:Blade Material: Alloy steelSize: 21.3 x 5.3 cm / 8.39 x 2.09 inch (approx.)Package list:- 1 x Woodworking Hand Tool
48,Electronics,"Garmin GPSMAP 78S Marine GPS Navigator and World Wide Chartplotter (010-00864-01) For boaters and watersports enthusiasts who want to run with the best, the rugged GPSMAP 78s features a 3-axis compass, barometric altimeter, crisp color mapping, high-sensitivity receiver, new molded rubber side grips, plus a microSD card slot for loading additional maps. And it floats! Explore  GPSMAP 78s comes with built-in worldwide basemap, so you can navigate anywhere with ease. And, like the rest of the 78-series, 78s is IPX7 waterproof and even floats in water. Get Your Bearings  GPSMAP 78s has a built-in 3-axis tilt-compensated electronic compass, which shows your heading even when you’re standing still, without holding it level. Its barometric altimeter tracks changes in pressure to pinpoint your precise altitude, and you can even use it to plot barometric pressure over time, which can help you keep an eye on changing weather conditions. Share Wirelessly  With GPSMAP 78s you can share your waypoints, tracks, routes and geocaches wirelessly other compatible device users. Now you can send the location of your favorite fishing spot to a friend to find. Sharing data is easy. Just press “send” to transfer your information to similar units. Keep Your Fix  With its high-sensitivity, WAAS-enabled GPS receiver and HotFix satellite prediction, GPSMAP 78s locates your position quickly and precisely and maintains its GPS location even in heavy cover and deep canyons. The advantage is clear — whether you’re in deep woods or just near tall buildings and trees, you can count on GPSMAP 78s to help you find your way when you need it the most."
49,Clothing & Accessories,Kuchipoo Unisex Regular Fit Cotton Vest (Pack of 6)
50,Clothing & Accessories,Skudgear Baby Knotted Headbands with Dotted Pattern - Pack of 4 (Multicolour) Baby HeadBands
51,Books,"Eccellente Music Amplifier with Bluetooth FM, AX Line, USB_Connect with Laptop, Tablet, Mobile, TV_HT109_Connect 4 Speakers - 10W Each The Amplifier Led Light Display. The product supports all Bluetooth Device;Tablets, IPAD, Mobile, TV, LED Smart TV, Desktop, Laptop. You can connect it through Bluetooth, AUX line, FM Radio, Pendrive, USB"
52,Electronics,"SanDisk microSDHC Card 32GB Mobile (SDSDQM-032G-B35N) Size name:32 GB   Capture more photos, record more HD videos and play more music on your mobile phone. Get the most out of your mobile phone or tablet with reliable SanDisk microSD and microSDHC memory cards."
53,Clothing & Accessories,"United Colors of Benetton Men's Solid Regular Fit Cotton Polo A cult garment in casual style, the Benetton polo shirt is an icon in men's fashion that has been revamped every season since 1965. Thanks to its inherent versatility, the short sleeve polo shirt in 100 percent cotton pique or stretch jersey is an essential item in the men's wardrobe, and not just for leisure time. In the new Benetton men's collection you will find different fits, from slim to regular fit, available in many different colors. In solid color models, the polo shirts are a solid alternative to t-shirts and shirts. It's essential to have at least one classic polo shirt with a button-down collar, clashing edges and an embroidered logo, paired with cargo trousers and suede shoes. On the other hand, if you prefer more daring and casual models, opt for stripes, patches or allover print, best when worn with bermudas and trainers."
54,Clothing & Accessories,ManQ Men's Blended V Neck 5 Button Waistcoat
55,Electronics,"Apple iPhone 8 Plus (Space Grey, 64GB) Colour:Space Grey                                                                                 |                            Size name:64GB   An all-new glass design, an updated camera, and a powerful chip, there’s so much to love about the iPhone 8 Plus. This iPhone brings you an augmented reality experience that’s more immersive than before. What’s more? You can charge your iPhone wirelessly!"
56,Household,"Borosil Square Dish with Lid Storage, 1.6 Litres Product Description You demand the best of yourself, so it's only right you enjoy the best from us. Famous for high quality and performance, we pour all our experience into creating beautifully designed, practical products like our trendsetting range. Strikingly elegant in every table setting, every piece helps transform simple gatherings into stylish occasions. Making whatever you're doing simpler, smarter and better. As dependable as they are desirable, you can trust our products always to perform beautifully. 				    	 					 From the Manufacturer Borosil’s Square Dish with a microwave safe Lid has been designed keeping you in mind. Cook at your convenience, cover it with the lid so you don’t have to worry about anything falling into the food, and then reheat when you’re ready to eat. The lid keeps the gravy from splashing and dirtying the insides of the microwave. Usage and Care Every Borosil Microwavable product that you buy: Is made of Borosilicate glass, and is guaranteed to withstand temperatures of upto 300 degree celsius Can be safely used in the microwave, oven, fridge, freezer, and dishwasher Unlike plastic, will not leech chemicals into your food even over repeated usage Non porous glass will not absorb stains or odours  Do's and Don'ts Can be used in a microwave or electric oven. Not for use over direct flame Pre-heat convection oven before use for best results Do not put the hot dish on a cold or wet surface Allow the hot dish to cool slightly before adding any cold liquid to the food Allow dishes with very hot food to reach room temperature before putting it into the fridge/freezer Do not use abrasive cleaners to ensure that glass stays scratch-free Do not use plastic lids in the microwave"
57,Clothing & Accessories,"Jockey Women's Cotton Crop Top Premium Combed Cotton Stretch fabric. Modern fit. Capri styling. Soft elasticized waistband with flat drawstring. To be worn as loungewear, leisurewear and active wear for all purpose use."
58,Clothing & Accessories,"BIS Creations Men's Cotton Blend Jacket Impress everyone with your amazing fashion sense by donning this Nehru jacket. Fashioned from cotton blend, this jacket is designed to provide you sheer comfort and will ensure a perfect fit. Wear this jacket over a shirt with chinos for a smart look."
59,Books,"Helicopter Theory (Dover Books on Aeronautical Engineering) About the Author Dr. Wayne Johnson worked in NASA at the Ames Research Center in California as well as for the US Army. He has his own company called Johnson Aeronautics, through which he works for the development of software programs that are widely used worldwide for analysing rotorcrafts. in this book, the author managed to compile a valuable resource that is necessary for all students and engineers interested in the design and development of vertical-flight aircrafts."
60,Clothing & Accessories,"Mothercare Baby Boys' Regular Fit Cotton Sleepsuit (Pack of 3) Whether your little one is playing sleeping lions or acting a bit wild, you can be sure they will be comfy in these adorable sleepsuits. Crafted from the softest cotton which is kind to the most delicate skin, each sleepsuit in the set features all Mothercare's specialist features. Finished with stripes, cute prints and fun embroideries."
61,Household,"Travel Smart by Conair Battery Operated Fabric Defuzzer - Shaver Removes pills, threads and fuzz / Keeps clothes looking like new / Removable refuse compartment / Requires 2 AA batteries (not included)"
62,Household,"Cera F7040105 Shower Arm with 380 mm (15"") with Wall Flange, Multicolour"
63,Clothing & Accessories,T2F Boy's Short
64,Household,"SD Decorz Pencil Jelly Candles, Multicolour Big shot gel candle glass 8 cm multicolor set of 6 candles. Glass candles presents stylish & designed decorative candles, exquisite t-lights, & decorative products. Decorative candles can be used at any occasion festival, birthday, wedding, ceremonies and casual.These candles are also make cherished gifts for all occasions. "" shot gel candle glass 8 cm multicolor set of 12 a set 12 candles. Glass candles presents stylish and designed decorative candles, exquisite t-lights, and decorative products. Decorative candles can be used at any occasion festival, birthday, wedding, ceremonies, casual.These candles are also make cherished gifts for all occasions."
65,Books,"Yoga and Psychotherapy: The Evolution of Consciousness Review ""A very fortunate marriage of yoga, medicine and psychology."" -- Stanislav Grof, M.D.""The presentation is clear, free of spiritual and psychological jargon and obviously informed by extensive clinical practice."" -- Brain Mind Bulletin""This superb work is probably the best book presently available on what might be called Yoga Clinical Psychology ... marvelously clear and concise ... The book is outstanding (and non-doctrinaire), from its fine introduction to its solid bibliography. In summary, this is a must read."" -- Journal of Transpersonal Psychology"
